,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
0,846,Elinor,Ostrom,07.08.33,06.12.12,USA,US,"Los Angeles, CA",USA,US,"Bloomington, IN",female,2009,economics,,2,"""for her analysis of economic governance, especially the commons""",Indiana University,"Bloomington, IN",USA,1933
1,846,Elinor,Ostrom,07.08.33,06.12.12,USA,US,"Los Angeles, CA",USA,US,"Bloomington, IN",female,2009,economics,,2,"""for her analysis of economic governance, especially the commons""",Arizona State University,"Tempe, AZ",USA,1933
3,230,Dorothy Crowfoot,Hodgkin,12.05.10,7/29/1994,Egypt,EG,Cairo,United Kingdom,GB,Shipston-on-Stour,female,1964,chemistry,,1,"""for her determinations by X-ray techniques of the structures of important biochemical substances""","University of Oxford, Royal Society",Oxford,United Kingdom,1910
4,918,Youyou,Tu,30.12.30,,China,CN,Zhejiang Ningbo,,,,female,2015,medicine,,2,"""for her discoveries concerning a novel therapy against Malaria""",China Academy of Traditional Chinese Medicine,Beijing,China,1930
5,428,Barbara,McClintock,16.06.02,09.02.92,USA,US,"Hartford, CT",USA,US,"Huntington, NY",female,1983,medicine,,1,"""for her discovery of mobile genetic elements""",Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA,1902
7,597,Grazia,Deledda,1871-09-27,8/15/1936,Italy,IT,"Nuoro, Sardinia",Italy,IT,Rome,female,1926,literature,,1,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",,,,1871
8,615,Gabriela,Mistral,1889-04-07,01.10.57,Chile,CL,Vicu_a,USA,US,"Hempstead, NY",female,1945,literature,,1,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",,,,1889
9,782,Elfriede,Jelinek,20.10.46,,Austria,AT,Môrzzuschlag,,,,female,2004,literature,,1,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",,,,1946
11,640,Nelly,Sachs,1891-12-10,05.12.70,Germany,DE,Berlin,Sweden,SE,Stockholm,female,1966,literature,,2,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" ",,,,1891
12,924,Svetlana,Alexievich,31.05.48,,Ukraine,UA,Ivano-Frankivsk,,,,female,2015,literature,,1,"""for her polyphonic writings, a monument to suffering and courage in our time""",,,,1948
13,610,Pearl,Buck,1892-06-26,03.06.73,USA,US,"Hillsboro, WV",USA,US,"Danby, VT",female,1938,literature,,1,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",,,,1892
14,673,Wislawa,Szymborska,02.07.23,02.01.12,Poland,PL,Bnin (now Krnik),Poland,PL,Krakw,female,1996,literature,,1,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",,,,1923
15,843,Ada E.,Yonath,22.06.39,,British Mandate of Palestine (now Israel),IL,Jerusalem,,,,female,2009,chemistry,,3,"""for studies of the structure and function of the ribosome""",Weizmann Institute of Science,Rehovot,Israel,1939
16,413,Rosalyn,Yalow,19.07.21,5/30/2011,USA,US,"New York, NY",USA,US,"New York, NY",female,1977,medicine,,2,"""for the development of radioimmunoassays of peptide hormones""",Veterans Administration Hospital,"Bronx, NY",USA,1921
